и	35801.80	15.13
в	31374.20	14.94
не	18028.00	14.14
на	15867.30	13.95
я	12684.40	13.63
быть	12160.70	13.57
он	11791.10	13.53
с	11311.90	13.47
что	8354.00	13.03
а	8198.00	13.00
по	5786.70	12.50
это	5707.80	12.48
она	5592.40	12.45
этот	5414.00	12.40
к	5389.00	12.40
но	5381.40	12.39
они	4850.00	12.24
мы	4704.80	12.20
как	4403.70	12.10
из	4314.10	12.07
у	4306.10	12.07
который	4209.00	12.04
то	3964.40	11.95
за	3904.10	11.93
свой	3825.50	11.90
что	3810.20	11.90
весь	3786.30	11.89
год	3727.50	11.86
от	3672.50	11.84
так	3440.40	11.75
о	3407.10	11.73
для	3229.30	11.66
ты	3171.20	11.63
же	3144.30	11.62
все	3106.80	11.60
тот	2967.10	11.53
мочь	2912.30	11.51
вы	2906.40	11.51
человек	2723.00	11.41
такой	2696.80	11.40
его	2577.90	11.33
сказать	2396.60	11.23
только	2391.70	11.22
или	2345.00	11.20
еще	2323.90	11.18
бы	2322.40	11.18
себя	2272.80	11.15
один	2245.70	11.13
как	2212.70	11.11
уже	2179.20	11.09
до	2061.10	11.01
время	2015.70	10.98
если	1998.10	10.96
сам	1986.30	10.96
когда	1895.70	10.89
другой	1837.30	10.84
вот	1785.10	10.80
говорить	1755.00	10.78
наш	1731.80	10.76
мой	1720.30	10.75
знать	1713.80	10.74
стать	1621.80	10.66
при	1550.80	10.60
чтобы	1479.70	10.53
дело	1412.10	10.46
жизнь	1389.80	10.44
кто	1374.80	10.43
первый	1345.60	10.39
очень	1286.80	10.33
два	1285.10	10.33
день	1258.40	10.30
ее	1219.20	10.25
новый	1217.50	10.25
рука	1200.60	10.23
даже	1179.80	10.20
во	1167.80	10.19
со	1151.30	10.17
раз	1131.80	10.14
где	1129.20	10.14
там	1128.10	10.14
под	1126.00	10.14
можно	1125.90	10.14
ну	1114.60	10.12
какой	1091.70	10.09
после	1080.10	10.08
их	1076.00	10.07
работа	1058.30	10.05
без	1018.80	9.99
самый	1007.40	9.98
потом	1006.10	9.97
надо	993.20	9.96
хотеть	991.30	9.95
ли	981.70	9.94
слово	967.90	9.92
идти	957.10	9.90
Россия	952.20	9.90
большой	944.40	9.88
должен	944.20	9.88
место	926.60	9.86
иметь	906.70	9.82
ничто	902.80	9.82
то	902.40	9.82
сейчас	897.30	9.81
тут	879.20	9.78
лицо	878.00	9.78
каждый	875.90	9.77
друг	874.20	9.77
нет	874.00	9.77
теперь	871.80	9.77
ни	858.20	9.75
глаз	857.60	9.74
тоже	841.50	9.72
тогда	835.60	9.71
видеть	818.20	9.68
вопрос	805.80	9.65
через	805.40	9.65
да	801.00	9.65
здесь	796.80	9.64
дом	792.60	9.63
да	787.50	9.62
потому	769.30	9.59
сторона	768.30	9.59
какой-то	762.60	9.57
думать	755.50	9.56
сделать	743.50	9.54
страна	725.70	9.50
жить	725.50	9.50
чем	721.10	9.49
мир	714.70	9.48
об	714.50	9.48
последний	712.60	9.48
случай	709.70	9.47
голова	709.40	9.47
более	706.20	9.46
делать	701.10	9.45
что-то	667.60	9.38
смотреть	667.20	9.38
ребенок	658.30	9.36
просто	656.50	9.36
конечно	647.30	9.34
сила	645.80	9.33
российский	644.60	9.33
конец	634.70	9.31
Москва	633.50	9.31
перед	626.70	9.29
несколько	623.70	9.28
вид	620.10	9.28
система	617.80	9.27
всегда	611.90	9.26
работать	611.20	9.26
между	607.50	9.25
три	596.70	9.22
нет	589.20	9.20
понять	588.20	9.20
пойти	587.20	9.20
часть	585.40	9.19
спросить	573.90	9.16
город	573.40	9.16
дать	573.10	9.16
также	569.90	9.15
никто	562.20	9.13
понимать	559.70	9.13
получить	557.70	9.12
отношение	557.40	9.12
лишь	552.50	9.11
второй	552.40	9.11
именно	551.40	9.11
ваш	547.50	9.10
хотя	546.90	9.10
ни	543.50	9.09
сидеть	538.10	9.07
над	537.00	9.07
женщина	533.30	9.06
оказаться	531.90	9.06
русский	530.50	9.05
один	529.50	9.05
взять	525.80	9.04
прийти	523.30	9.03
являться	522.90	9.03
деньги	512.40	9.00
почему	507.20	8.99
вдруг	503.20	8.97
любить	503.10	8.97
стоить	501.90	8.97
почти	501.70	8.97
земля	494.40	8.95
общий	492.40	8.94
ведь	491.90	8.94
машина	490.40	8.94
однако	487.10	8.93
сразу	486.00	8.92
хорошо	485.70	8.92
вода	484.80	8.92
отец	484.10	8.92
высокий	483.30	8.92
остаться	482.70	8.91
выйти	480.90	8.91
много	480.00	8.91
проблема	474.90	8.89
начать	473.30	8.89
хороший	471.40	8.88
час	468.10	8.87
это	466.70	8.87
сегодня	463.50	8.86
право	461.40	8.85
совсем	460.50	8.85
нога	459.20	8.84
считать	455.30	8.83
главный	454.60	8.83
решение	453.40	8.82
увидеть	452.40	8.82
дверь	450.80	8.82
казаться	448.20	8.81
образ	445.90	8.80
писать	444.30	8.80
история	443.90	8.79
лучший	443.20	8.79
власть	435.60	8.77
закон	433.40	8.76
все	433.30	8.76
война	425.90	8.73
бог	425.40	8.73
голос	424.50	8.73
найти	424.10	8.73
поэтому	421.30	8.72
стоять	419.30	8.71
вообще	417.60	8.71
тысяча	416.00	8.70
больше	415.30	8.70
вместе	414.30	8.69
маленький	414.10	8.69
книга	413.90	8.69
некоторый	410.90	8.68
решить	409.70	8.68
любой	408.80	8.68
возможность	407.50	8.67
результат	403.10	8.65
ночь	402.80	8.65
стол	402.50	8.65
никогда	401.80	8.65
имя	401.70	8.65
область	400.20	8.64
молодой	400.00	8.64
пройти	398.40	8.64
например	398.00	8.64
статья	395.00	8.63
оно	394.70	8.62
число	393.50	8.62
компания	392.70	8.62
про	392.10	8.62
государственный	391.30	8.61
полный	390.60	8.61
принять	386.90	8.60
народ	385.60	8.59
никакой	383.70	8.58
советский	382.90	8.58
